epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2164.66,1.45027,0.62701,0.86842,0.19834,0.05202,0.01029,0.00496,1.08581,0.96166,0.60029,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243
2,4270.9,0.95077,0.9669,0.42338,0.24635,0.19633,0.12383,0.07648,0.78936,0.94734,0.3722,0.0199313,0.00664377,0.0199313,0.00664377,0.0199313,0.00664377,0.0199313,0.00664377
3,6323.24,0.86672,0.88018,0.35173,0.34984,0.26539,0.22496,0.1448,0.73542,0.84307,0.33796,0.0297993,0.0099331,0.0297993,0.0099331,0.0297993,0.0099331,0.0297993,0.0099331
4,8372.62,0.83594,0.82573,0.32449,0.42928,0.32587,0.31501,0.20948,0.67812,0.7904,0.30266,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,10421.8,0.8016,0.79349,0.3005,0.45909,0.37675,0.36611,0.24732,0.64631,0.75581,0.2875,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,12471.3,0.77775,0.77793,0.28504,0.49808,0.39342,0.39887,0.27258,0.6219,0.74239,0.2729,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,14523,0.76481,0.76446,0.27672,0.51138,0.41134,0.41905,0.28714,0.60895,0.72949,0.2655,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,16570.3,0.75303,0.75598,0.26888,0.53545,0.4181,0.43386,0.29758,0.60196,0.72173,0.26331,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,18618.5,0.74644,0.74635,0.2636,0.53617,0.43012,0.44284,0.30491,0.59459,0.71752,0.26023,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,20668.7,0.7394,0.74376,0.2612,0.54709,0.43122,0.44852,0.30931,0.59118,0.71479,0.25812,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,22719,0.73607,0.73596,0.25811,0.55863,0.43514,0.45417,0.31344,0.58808,0.71194,0.25663,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,24803.1,0.72839,0.73268,0.25377,0.55948,0.44019,0.45923,0.31735,0.58418,0.71055,0.25563,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,26881,0.7261,0.7286,0.25201,0.55635,0.44507,0.46288,0.32075,0.58129,0.70884,0.25425,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,28965.4,0.73209,0.72293,0.25333,0.56283,0.44628,0.46549,0.32367,0.57943,0.70603,0.25367,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,31027,0.71861,0.72249,0.2473,0.57001,0.44851,0.47023,0.32696,0.57723,0.70257,0.25232,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,33077.3,0.71576,0.72087,0.24658,0.57255,0.4557,0.47544,0.33085,0.57526,0.69867,0.25121,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,35129.1,0.71314,0.71311,0.24392,0.56579,0.46135,0.47863,0.33424,0.57241,0.69539,0.24834,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,37177.6,0.71882,0.71466,0.24652,0.5695,0.46403,0.48252,0.33729,0.56844,0.69449,0.2452,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,39229.4,0.70569,0.71302,0.2401,0.57836,0.4687,0.48773,0.34097,0.56622,0.69062,0.245,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,41277.7,0.71423,0.71113,0.24376,0.5803,0.46986,0.49065,0.34318,0.56405,0.68944,0.24453,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
