epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2000.14,1.44051,0.63255,0.86131,0.20958,0.06041,0.01302,0.00657,1.04355,1.0018,0.56892,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243
2,3935.66,0.89717,0.97261,0.38827,0.27242,0.20574,0.1415,0.08961,0.77344,0.92879,0.36273,0.0199313,0.00664377,0.0199313,0.00664377,0.0199313,0.00664377,0.0199313,0.00664377
3,5812.98,0.82102,0.86347,0.32309,0.37048,0.28181,0.25062,0.16369,0.71386,0.83148,0.32721,0.0297993,0.0099331,0.0297993,0.0099331,0.0297993,0.0099331,0.0297993,0.0099331
4,7686.43,0.79231,0.80495,0.29744,0.4562,0.3459,0.33412,0.22296,0.6577,0.77846,0.29463,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,9558.18,0.75563,0.77232,0.27318,0.48558,0.38934,0.38849,0.26378,0.62587,0.74399,0.27718,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,11428.2,0.73331,0.75582,0.2588,0.51493,0.41377,0.42177,0.28989,0.60407,0.72753,0.2652,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,13299,0.72405,0.74178,0.25204,0.54064,0.42228,0.44147,0.30453,0.58961,0.71882,0.25748,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,15170.5,0.70924,0.73176,0.24333,0.55736,0.42751,0.45184,0.31257,0.58053,0.71189,0.25419,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,17040.1,0.70046,0.72429,0.23881,0.56857,0.4312,0.46045,0.31932,0.57559,0.70684,0.25191,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,18911.2,0.70004,0.71862,0.23854,0.56733,0.44022,0.46726,0.32457,0.57171,0.70407,0.2503,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,20780,0.69064,0.71306,0.23257,0.5665,0.44499,0.47151,0.32766,0.5692,0.70101,0.24921,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,22651.2,0.68904,0.70719,0.23111,0.57151,0.44544,0.47526,0.33021,0.56679,0.69922,0.24769,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,24519.9,0.6825,0.7048,0.22822,0.5703,0.45415,0.47935,0.33267,0.56566,0.69645,0.24763,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,26392.2,0.67237,0.69847,0.22256,0.56869,0.46028,0.48273,0.3359,0.56332,0.69483,0.24549,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,28266.3,0.67196,0.69477,0.22152,0.58138,0.45626,0.48661,0.33926,0.55997,0.69341,0.24381,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,30139,0.67119,0.69352,0.22196,0.58375,0.4599,0.48976,0.34291,0.55921,0.69052,0.24325,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,32010.5,0.66989,0.68775,0.21947,0.58512,0.46556,0.49452,0.34663,0.55663,0.68941,0.24207,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,33884,0.66402,0.68613,0.2174,0.58417,0.46966,0.4984,0.3509,0.55289,0.69116,0.24012,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,35770,0.68165,0.67968,0.22095,0.58996,0.4731,0.50293,0.35417,0.55143,0.69152,0.23927,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,37651.7,0.66387,0.68032,0.21542,0.59372,0.47469,0.50655,0.35814,0.54883,0.69021,0.23801,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,39528.8,0.68023,0.67775,0.22272,0.5962,0.47875,0.51086,0.36101,0.54645,0.68824,0.23738,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,41402.7,0.68608,0.67531,0.22139,0.59747,0.4854,0.51522,0.36429,0.54263,0.68504,0.23541,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,43272.7,0.69858,0.66741,0.22378,0.60346,0.48613,0.51914,0.3679,0.54049,0.67944,0.2328,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,45142,0.69813,0.66341,0.22254,0.61119,0.48664,0.52262,0.36778,0.54498,0.66985,0.2327,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,47014.2,0.74793,0.64788,0.23494,0.60591,0.49125,0.52537,0.36791,0.54698,0.66329,0.23121,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,48883.3,0.73937,0.64793,0.23303,0.60206,0.4972,0.52819,0.3688,0.5487,0.65791,0.23116,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,50753.1,0.76464,0.64128,0.24002,0.60905,0.49629,0.53104,0.3693,0.5521,0.65347,0.23071,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,52622.6,0.74864,0.64009,0.23496,0.60245,0.50522,0.53368,0.37076,0.55191,0.65063,0.22912,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,54517,0.7056,0.64831,0.22177,0.604,0.50527,0.53708,0.3731,0.54987,0.64797,0.2283,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
