epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2010.01,1.4699,0.6088,0.88894,0.26162,0.05043,0.00913,0.00457,1.06752,0.97809,0.58446,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243
2,3953.61,0.98204,0.9488,0.45263,0.25938,0.18817,0.11872,0.07251,0.79459,0.9468,0.37739,0.0199313,0.00664377,0.0199313,0.00664377,0.0199313,0.00664377,0.0199313,0.00664377
3,5839.88,0.90357,0.87348,0.38111,0.34781,0.25301,0.21573,0.13919,0.73254,0.85866,0.33981,0.0297993,0.0099331,0.0297993,0.0099331,0.0297993,0.0099331,0.0297993,0.0099331
4,7723.47,0.8743,0.82246,0.35317,0.41635,0.32424,0.30269,0.19947,0.68508,0.7977,0.30766,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,9605.79,0.83836,0.7934,0.32745,0.46342,0.36181,0.35326,0.23669,0.65075,0.76554,0.288,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,11487.3,0.81763,0.77839,0.31189,0.49035,0.39136,0.39008,0.26468,0.62468,0.74927,0.27542,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,13369.4,0.80597,0.76622,0.30424,0.51952,0.39683,0.409,0.28077,0.61283,0.73706,0.26871,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,15249.8,0.79284,0.75875,0.29628,0.53355,0.40713,0.4232,0.29088,0.60222,0.7306,0.26462,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,17130.9,0.79117,0.74912,0.29357,0.53656,0.41766,0.42972,0.29576,0.59652,0.72594,0.26286,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,19014,0.7878,0.7462,0.29178,0.54196,0.4197,0.43655,0.30062,0.59428,0.72294,0.26095,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,20892,0.78302,0.74397,0.28928,0.54286,0.42628,0.44178,0.30439,0.59054,0.72068,0.25952,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,22773,0.78159,0.74046,0.28793,0.54352,0.42802,0.44433,0.30565,0.59103,0.71815,0.26038,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,24655.2,0.77191,0.73722,0.28292,0.55342,0.42749,0.44846,0.30946,0.58932,0.71622,0.25898,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,26535.6,0.7652,0.73181,0.27802,0.56037,0.43189,0.45347,0.31292,0.58716,0.71407,0.25773,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,28420.7,0.76001,0.72844,0.27483,0.5633,0.43421,0.45631,0.31547,0.58364,0.71347,0.25507,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,30303.8,0.75911,0.72896,0.2763,0.56464,0.43613,0.46074,0.3192,0.58175,0.70989,0.25367,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,32187.2,0.76246,0.72563,0.27617,0.56533,0.43955,0.46468,0.32234,0.5779,0.70777,0.25164,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,34073,0.76465,0.72184,0.27681,0.57336,0.44504,0.46901,0.32619,0.57518,0.7048,0.25009,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,35966.9,0.7456,0.72198,0.26739,0.5731,0.44965,0.47307,0.32954,0.57198,0.70168,0.24749,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,37857.3,0.74475,0.71889,0.26707,0.57989,0.45097,0.47834,0.33384,0.56847,0.69731,0.24598,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,39741,0.74482,0.7146,0.26534,0.58574,0.45445,0.48299,0.33761,0.56564,0.69382,0.24426,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,41623.5,0.75562,0.70966,0.26746,0.59372,0.4565,0.48854,0.34085,0.56414,0.69097,0.24359,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,43500.4,0.76484,0.70423,0.26942,0.59739,0.45965,0.49305,0.34374,0.5633,0.68971,0.24198,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,45379.8,0.74737,0.7074,0.26398,0.59359,0.47121,0.49913,0.34898,0.56063,0.68856,0.24168,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,47258.1,0.7769,0.6975,0.27174,0.59956,0.4732,0.50331,0.35164,0.55953,0.68631,0.23967,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,49137.4,0.76321,0.69835,0.2672,0.6049,0.47772,0.50715,0.35382,0.56232,0.68092,0.23921,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,51015.6,0.80355,0.68607,0.27987,0.60376,0.48333,0.51056,0.35499,0.56626,0.67569,0.23939,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,52893.1,0.7816,0.68906,0.27184,0.60712,0.48538,0.51467,0.35939,0.56289,0.67188,0.2381,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,54799.7,0.78007,0.68688,0.27147,0.61219,0.48641,0.51816,0.36235,0.5577,0.66865,0.23628,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,56733.1,0.76683,0.69201,0.26698,0.6099,0.4941,0.52182,0.36586,0.55426,0.66556,0.23476,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,58666,0.77409,0.68721,0.26942,0.60978,0.49671,0.52513,0.36842,0.55282,0.66219,0.23387,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,60598.7,0.77049,0.68811,0.2676,0.61492,0.49941,0.52859,0.37206,0.54963,0.65991,0.23156,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,62530.9,0.74547,0.69308,0.2602,0.61806,0.50318,0.53258,0.37525,0.54568,0.65735,0.23004,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,64466,0.77201,0.68399,0.26685,0.62055,0.50431,0.53683,0.37823,0.54328,0.65577,0.22889,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,66399.1,0.80006,0.67611,0.27588,0.6156,0.5078,0.53876,0.37865,0.54639,0.65136,0.22778,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,68334.9,0.75064,0.68981,0.2606,0.62085,0.50933,0.54127,0.37973,0.54732,0.64945,0.22627,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
