epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1310.65,2.8524,5.37382,0.02633,0.34532,0.06134,0.04352,0.02237,2.04811,3.89417,0.02128,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243
2,2514.43,1.96919,3.37152,0.0145,0.32643,0.20834,0.16666,0.10001,1.78295,2.69949,0.01703,0.0199313,0.00664377,0.0199313,0.00664377,0.0199313,0.00664377,0.0199313,0.00664377
3,3523.5,1.86836,2.956,0.01319,0.36953,0.2568,0.23113,0.14369,1.67917,2.42945,0.01557,0.0297993,0.0099331,0.0297993,0.0099331,0.0297993,0.0099331,0.0297993,0.0099331
4,4382.8,1.79656,2.76391,0.01236,0.43988,0.30528,0.29836,0.19457,1.58112,2.17559,0.01412,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,5332.8,1.72251,2.57384,0.01151,0.48465,0.33953,0.34313,0.22958,1.52337,2.04166,0.01325,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,6215.52,1.68139,2.46985,0.01102,0.5033,0.3648,0.36962,0.24958,1.48583,1.95911,0.0127,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,7043.89,1.6515,2.39966,0.01071,0.50666,0.37392,0.38721,0.26482,1.46188,1.90774,0.01235,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,7995.94,1.63183,2.34262,0.01048,0.51583,0.38637,0.39818,0.27361,1.44518,1.87703,0.01213,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,8944.07,1.61906,2.30437,0.01031,0.53746,0.38752,0.40537,0.27979,1.43552,1.85342,0.01198,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,9970.7,1.5982,2.27078,0.01019,0.53207,0.3932,0.41022,0.28403,1.42531,1.83819,0.01184,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,11327.7,1.59292,2.24466,0.0101,0.53914,0.3962,0.41486,0.28821,1.41766,1.82232,0.01173,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,12640.5,1.58394,2.22288,0.01001,0.53955,0.40245,0.41838,0.29156,1.4113,1.81059,0.01167,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1107.81,1.59738,2.2534,0.01013,0.53833,0.40708,0.42285,0.2947,1.40714,1.79948,0.0116,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,2439.16,1.59249,2.24338,0.0101,0.54156,0.40902,0.4265,0.29761,1.40278,1.79022,0.01155,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,3723.79,1.58976,2.22265,0.01001,0.55208,0.40908,0.43017,0.30078,1.39725,1.78112,0.01146,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,4986.83,1.58233,2.20323,0.00994,0.55434,0.41161,0.43413,0.3042,1.39334,1.77127,0.01141,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
