epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1604.82,1.39507,1.93738,0.00825,0.64743,0.52165,0.5623,0.40949,1.20027,1.37919,0.00919,0.00113969,0.000379896,0.00113969,0.000379896,0.00116701,0.000407219,0.00113969,0.000379896
2,897.157,1.35044,1.75601,0.00773,0.65248,0.52384,0.57449,0.41884,1.19622,1.34568,0.00915,0.00112388,0.000374626,0.00112388,0.000374626,0.00112388,0.000374626,0.00112388,0.000374626
3,1911.83,1.34308,1.7343,0.00766,0.66111,0.53371,0.58488,0.42623,1.18487,1.3315,0.00902,0.00110775,0.000369251,0.00110775,0.000369251,0.00110775,0.000369251,0.00110775,0.000369251
4,2762,1.33878,1.70935,0.00755,0.6663,0.53075,0.59024,0.43203,1.18364,1.31801,0.00902,0.00109163,0.000363877,0.00109163,0.000363877,0.00109163,0.000363877,0.00109163,0.000363877
5,3551.49,1.33369,1.69202,0.0075,0.67905,0.53411,0.59539,0.4364,1.17932,1.30399,0.00892,0.00107551,0.000358503,0.00107551,0.000358503,0.00107551,0.000358503,0.00107551,0.000358503
6,4324.63,1.3275,1.67386,0.00744,0.67158,0.5432,0.60278,0.44173,1.1714,1.29336,0.00885,0.00105939,0.000353129,0.00105939,0.000353129,0.00105939,0.000353129,0.00105939,0.000353129
7,5096.06,1.32375,1.66438,0.0074,0.66614,0.54589,0.60463,0.44333,1.16988,1.28597,0.00879,0.00104326,0.000347754,0.00104326,0.000347754,0.00104326,0.000347754,0.00104326,0.000347754
8,5865.67,1.31978,1.65601,0.00736,0.66984,0.55078,0.60717,0.44628,1.16854,1.27873,0.00878,0.00102714,0.00034238,0.00102714,0.00034238,0.00102714,0.00034238,0.00102714,0.00034238
9,6655.77,1.31651,1.64558,0.00733,0.67453,0.55381,0.61082,0.44906,1.16613,1.27578,0.00875,0.00101102,0.000337006,0.00101102,0.000337006,0.00101102,0.000337006,0.00101102,0.000337006
10,7432.57,1.31732,1.63956,0.00732,0.67443,0.55606,0.61187,0.45021,1.1661,1.27158,0.00876,0.000994894,0.000331631,0.000994894,0.000331631,0.000994894,0.000331631,0.000994894,0.000331631
11,8176.7,1.30785,1.6268,0.00731,0.67609,0.55793,0.61271,0.45081,1.1664,1.26817,0.00875,0.000978771,0.000326257,0.000978771,0.000326257,0.000978771,0.000326257,0.000978771,0.000326257
12,8922.54,1.31082,1.62432,0.0073,0.67033,0.5612,0.61328,0.45123,1.16575,1.26528,0.00876,0.000962649,0.000320883,0.000962649,0.000320883,0.000962649,0.000320883,0.000962649,0.000320883
13,9667.26,1.3078,1.61433,0.00727,0.67118,0.56053,0.6146,0.45228,1.16514,1.26319,0.00875,0.000946526,0.000315509,0.000946526,0.000315509,0.000946526,0.000315509,0.000946526,0.000315509
14,10411,1.30658,1.60998,0.00724,0.67145,0.56128,0.61528,0.45244,1.16489,1.26273,0.00875,0.000930403,0.000310134,0.000930403,0.000310134,0.000930403,0.000310134,0.000930403,0.000310134
15,11144.6,1.30624,1.60717,0.00723,0.67685,0.55882,0.61612,0.45323,1.16468,1.25996,0.00875,0.00091428,0.00030476,0.00091428,0.00030476,0.00091428,0.00030476,0.00091428,0.00030476
16,11868.8,1.30431,1.59894,0.00721,0.6771,0.56011,0.61699,0.45364,1.16457,1.25742,0.00875,0.000898157,0.000299386,0.000898157,0.000299386,0.000898157,0.000299386,0.000898157,0.000299386
17,12593.3,1.30075,1.59555,0.00719,0.67771,0.56286,0.61775,0.45401,1.16382,1.25639,0.00874,0.000882034,0.000294011,0.000882034,0.000294011,0.000882034,0.000294011,0.000882034,0.000294011
18,13318.1,1.30059,1.59001,0.00716,0.67872,0.56189,0.61859,0.45479,1.16352,1.25505,0.00874,0.000865911,0.000288637,0.000865911,0.000288637,0.000865911,0.000288637,0.000865911,0.000288637
19,14041.9,1.29959,1.58386,0.00717,0.68047,0.56077,0.61968,0.45577,1.16307,1.25377,0.00873,0.000849789,0.000283263,0.000849789,0.000283263,0.000849789,0.000283263,0.000849789,0.000283263
20,14780.7,1.29707,1.5805,0.00714,0.67893,0.56251,0.62052,0.45627,1.16258,1.25215,0.00873,0.000833666,0.000277889,0.000833666,0.000277889,0.000833666,0.000277889,0.000833666,0.000277889
21,15522.4,1.29798,1.57642,0.00713,0.67475,0.56515,0.62101,0.4567,1.16192,1.25075,0.00873,0.000817543,0.000272514,0.000817543,0.000272514,0.000817543,0.000272514,0.000817543,0.000272514
22,16261.7,1.29616,1.57317,0.00712,0.67423,0.56617,0.6213,0.45703,1.16183,1.24998,0.00874,0.00080142,0.00026714,0.00080142,0.00026714,0.00080142,0.00026714,0.00080142,0.00026714
23,16997,1.29419,1.57024,0.0071,0.67351,0.56801,0.62151,0.45736,1.16077,1.2511,0.00873,0.000785297,0.000261766,0.000785297,0.000261766,0.000785297,0.000261766,0.000785297,0.000261766
24,17723.4,1.2948,1.56731,0.00709,0.67654,0.56791,0.62203,0.4579,1.16114,1.24917,0.00873,0.000769174,0.000256391,0.000769174,0.000256391,0.000769174,0.000256391,0.000769174,0.000256391
