epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,933.5,2.8524,5.37382,0.02633,0.34532,0.06134,0.04352,0.02237,2.04811,3.89417,0.02128,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243,0.0099973,0.00333243
2,1775.0,1.96878,3.37371,0.01449,0.32972,0.20038,0.1636,0.09738,1.78538,2.7048,0.01707,0.0198983,0.00663277,0.0198983,0.00663277,0.0198983,0.00663277,0.0198983,0.00663277
3,2508.3,1.8653,2.95792,0.01317,0.37132,0.26069,0.23231,0.1447,1.67636,2.43122,0.01554,0.0297003,0.00990011,0.0297003,0.00990011,0.0297003,0.00990011,0.0297003,0.00990011
4,3242.8,1.79556,2.76257,0.01235,0.44726,0.30489,0.29866,0.19523,1.57833,2.17945,0.01406,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,3977.0,1.72302,2.57424,0.0115,0.46344,0.34421,0.34389,0.22994,1.52162,2.04358,0.01325,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,4706.6,1.68051,2.47106,0.01102,0.484,0.36456,0.36876,0.24932,1.48635,1.96236,0.01275,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,5447.1,1.65169,2.39711,0.01071,0.52008,0.37657,0.38844,0.26577,1.46128,1.90778,0.01238,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,6189.1,1.63069,2.34468,0.01047,0.5263,0.38512,0.39944,0.27486,1.44529,1.87628,0.01213,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,6922.5,1.61781,2.30412,0.0103,0.53515,0.39127,0.40731,0.28094,1.43301,1.85654,0.01196,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,7662.3,1.59818,2.26939,0.01018,0.53333,0.39667,0.41257,0.28568,1.42458,1.84013,0.01186,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,8406.7,1.59302,2.24563,0.01008,0.53822,0.39879,0.41723,0.28977,1.41678,1.82544,0.01175,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,9148.0,1.58217,2.22253,0.00998,0.54766,0.40188,0.42223,0.29381,1.41024,1.81174,0.01165,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,9894.7,1.57756,2.20407,0.00991,0.54877,0.40546,0.42679,0.29805,1.40416,1.79899,0.01157,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,10644.1,1.5722,2.19098,0.00983,0.5583,0.40712,0.43092,0.30177,1.39823,1.78812,0.01151,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,11388.4,1.5675,2.17461,0.00979,0.56281,0.41006,0.4353,0.30551,1.39338,1.77601,0.01143,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,12134.1,1.56248,2.15988,0.00975,0.56734,0.41147,0.43956,0.30832,1.3876,1.76645,0.01137,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,12883.6,1.55775,2.14432,0.00967,0.57758,0.41003,0.44316,0.3116,1.38248,1.75667,0.01131,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,13633.5,1.55501,2.13512,0.00967,0.58141,0.41327,0.44732,0.31485,1.37829,1.74566,0.01126,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,14383.6,1.55135,2.12679,0.00962,0.58691,0.4161,0.45091,0.31806,1.37313,1.73657,0.01119,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,15149.0,1.5495,2.11819,0.00958,0.59065,0.42029,0.45552,0.32179,1.36686,1.72827,0.01111,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,15897.0,1.54429,2.11258,0.00954,0.5934,0.42346,0.45899,0.32469,1.36169,1.71865,0.01106,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,16646.4,1.543,2.10395,0.00951,0.59456,0.42644,0.46342,0.32866,1.35607,1.70903,0.01098,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,17392.9,1.54239,2.09794,0.0095,0.60069,0.42837,0.46721,0.33181,1.35192,1.70102,0.01092,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,18138.1,1.53613,2.09142,0.00947,0.59998,0.4334,0.47086,0.33465,1.3472,1.6905,0.01084,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,18886.4,1.53697,2.08359,0.00946,0.60572,0.43534,0.475,0.33793,1.34367,1.6807,0.0108,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,19634.4,1.53593,2.08173,0.00943,0.60502,0.43825,0.47822,0.34024,1.33819,1.67335,0.01072,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,20382.6,1.5306,2.07069,0.0094,0.60638,0.43925,0.48157,0.34255,1.33561,1.66344,0.01068,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,21130.7,1.53077,2.06664,0.0094,0.60835,0.44302,0.48556,0.34538,1.33234,1.65359,0.01064,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,21900.4,1.52899,2.05856,0.00937,0.60798,0.44798,0.48848,0.34774,1.3297,1.64441,0.0106,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,22644.8,1.52631,2.05665,0.00937,0.6145,0.44649,0.49104,0.35052,1.32759,1.63691,0.01057,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,23393.3,1.52802,2.05257,0.00935,0.61345,0.45015,0.49322,0.35214,1.32563,1.62807,0.01054,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,24142.2,1.52183,2.04605,0.00933,0.61633,0.44983,0.49491,0.35411,1.32208,1.62227,0.0105,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,24888.2,1.52055,2.03888,0.00932,0.61694,0.45496,0.49784,0.35645,1.32011,1.61523,0.01047,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,25635.0,1.52062,2.0411,0.00929,0.62061,0.45844,0.50092,0.35817,1.31861,1.60796,0.01045,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,26383.8,1.51876,2.03243,0.0093,0.62062,0.46188,0.50297,0.35955,1.31765,1.60118,0.01044,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,27134.6,1.51957,2.03196,0.00925,0.61091,0.46485,0.50474,0.36112,1.31548,1.59411,0.0104,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,27883.9,1.51486,2.02571,0.00923,0.61928,0.46913,0.50726,0.36286,1.31323,1.58737,0.01038,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,28635.8,1.51306,2.01921,0.00921,0.62433,0.46919,0.50889,0.36439,1.31181,1.58153,0.01036,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,29382.5,1.51209,2.01564,0.00921,0.62483,0.47188,0.51117,0.36627,1.31008,1.5765,0.01034,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,30130.7,1.51119,2.01245,0.00921,0.62687,0.47135,0.51167,0.36684,1.30926,1.572,0.0103,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,30879.7,1.50784,2.01169,0.00918,0.62277,0.47451,0.51326,0.36813,1.308,1.56669,0.01028,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,31630.2,1.50891,2.0069,0.00915,0.62581,0.47546,0.5153,0.37001,1.30748,1.56113,0.01028,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,32381.3,1.50684,2.00248,0.00915,0.62134,0.47887,0.51676,0.37126,1.30488,1.55736,0.01025,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,33129.3,1.50827,1.99587,0.00912,0.62828,0.47787,0.51779,0.37205,1.30383,1.55358,0.01023,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,33876.6,1.50484,1.9962,0.00915,0.62393,0.47814,0.5191,0.37307,1.30304,1.54868,0.01022,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,34625.4,1.50732,1.99336,0.00913,0.63299,0.4768,0.5198,0.37385,1.30173,1.54577,0.01019,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,35373.7,1.50019,1.98639,0.00911,0.6342,0.47986,0.52116,0.37495,1.30019,1.54288,0.01019,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,36122.0,1.50326,1.98629,0.00909,0.63546,0.48083,0.52233,0.37566,1.29899,1.53926,0.01017,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,36869.9,1.50123,1.98091,0.0091,0.63385,0.48511,0.52447,0.37705,1.29714,1.53486,0.01015,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,37614.2,1.50113,1.98121,0.00907,0.62963,0.48858,0.52645,0.37852,1.29539,1.53178,0.01013,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,38362.5,1.49866,1.97155,0.00907,0.62892,0.48786,0.52838,0.38,1.2949,1.52772,0.01011,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,39109.2,1.50247,1.97444,0.00905,0.62904,0.48727,0.52884,0.38086,1.29361,1.52633,0.0101,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,39857.6,1.49587,1.97019,0.00906,0.62396,0.4913,0.53006,0.38162,1.29298,1.52169,0.0101,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,40606.3,1.49573,1.96346,0.00903,0.63454,0.48824,0.53092,0.3823,1.29269,1.51822,0.01009,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,41355.1,1.49448,1.96195,0.00901,0.6389,0.48187,0.53152,0.38262,1.29177,1.51645,0.01007,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
