epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,477.145,1.40023,4.47947,1.56163,0.00155,0.10421,0.00045,9e-05,1.10722,1.04411,1.2816,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,963.094,1.005,1.06448,0.90783,0.011,0.08811,0.00644,0.00231,0.79647,1.42177,0.80623,0.0198488,0.00661627,0.0198488,0.00661627,0.0198488,0.00661627,0.0198488,0.00661627
3,1440.13,0.74123,1.35893,0.59682,0.22876,0.09058,0.03154,0.01459,0.62459,1.53615,0.60594,0.0295849,0.00986165,0.0295849,0.00986165,0.0295849,0.00986165,0.0295849,0.00986165
4,1902,0.59781,1.39269,0.45835,0.17726,0.20163,0.09058,0.0504,0.51293,1.44133,0.48481,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2317.73,0.53989,1.31416,0.40392,0.24092,0.26835,0.16917,0.09808,0.47714,1.30753,0.45235,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2756.37,0.51445,1.22392,0.38175,0.31043,0.30123,0.24067,0.14946,0.45722,1.22324,0.44391,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,3211.06,0.50359,1.14733,0.36991,0.38301,0.371,0.3301,0.21212,0.43904,1.08631,0.42338,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,3662.25,0.48636,1.11325,0.36216,0.44117,0.4041,0.38414,0.24953,0.42152,1.04623,0.41191,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,4123.09,0.46802,1.08213,0.35281,0.46995,0.42354,0.41514,0.27422,0.42208,1.00072,0.41289,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,4573.76,0.46597,1.04887,0.34816,0.50579,0.44967,0.45381,0.30546,0.41053,0.9579,0.40407,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,5030.79,0.46435,1.01558,0.34239,0.51156,0.47864,0.48385,0.3248,0.41245,0.90749,0.41001,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
