epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,446.83,1.42667,4.54027,1.61695,0.00071,0.04759,0.0002,4e-05,1.32357,0.84349,1.88874,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,939.019,0.98882,1.07993,0.88742,0.12034,0.08152,0.00963,0.00337,0.81416,1.40161,0.85639,0.0198488,0.00661627,0.0198488,0.00661627,0.0198488,0.00661627,0.0198488,0.00661627
3,1455.82,0.70396,1.37514,0.5593,0.18003,0.11373,0.03762,0.01915,0.59937,1.56268,0.57622,0.0295849,0.00986165,0.0295849,0.00986165,0.0295849,0.00986165,0.0295849,0.00986165
4,1979.92,0.56928,1.3778,0.42974,0.21507,0.21796,0.12168,0.06904,0.51103,1.35987,0.48029,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2457.27,0.51318,1.27611,0.3844,0.27302,0.29224,0.20654,0.12442,0.45397,1.30779,0.4391,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2872.5,0.49183,1.17299,0.36471,0.35683,0.34381,0.29296,0.18144,0.43638,1.16573,0.41864,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,3283.54,0.48066,1.0899,0.35355,0.41936,0.39752,0.37122,0.23692,0.43772,1.04478,0.42498,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,3699.56,0.46203,1.05425,0.34654,0.46311,0.41459,0.40995,0.26642,0.41712,1.01673,0.41058,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,4108.51,0.44469,1.02162,0.33597,0.49791,0.46081,0.45754,0.30545,0.41194,0.95,0.40608,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,4506.35,0.44225,0.98705,0.33081,0.52444,0.46485,0.48256,0.3231,0.40093,0.93052,0.3988,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,4898.5,0.44146,0.95104,0.32651,0.5354,0.49081,0.50334,0.34216,0.39545,0.91812,0.38721,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,5289.32,0.43021,0.93537,0.31983,0.58051,0.50117,0.54067,0.36927,0.39225,0.87876,0.38902,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,5701.87,0.42579,0.92045,0.31576,0.60417,0.53103,0.56683,0.39296,0.37817,0.84372,0.37162,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
