epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,124.581,3.57713,7.25137,0.0601,0.00156,0.04857,0.00033,6e-05,3.07074,7.55926,0.07306,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,239.433,2.22202,4.45045,0.03579,0.34916,0.05485,0.05039,0.01891,1.99347,3.81753,0.04263,0.0197829,0.0065943,0.0197829,0.0065943,0.0197829,0.0065943,0.0197829,0.0065943
3,348.012,1.87608,3.50882,0.02771,0.3271,0.16491,0.09318,0.03941,1.85646,3.39632,0.03958,0.0293871,0.00979569,0.0293871,0.00979569,0.0293871,0.00979569,0.0293871,0.00979569
4,456.336,1.75709,3.13422,0.0259,0.26515,0.2445,0.17731,0.08682,1.73106,2.72524,0.03637,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,563.96,1.65228,2.8333,0.02387,0.3487,0.31006,0.25381,0.13022,1.6463,2.44952,0.03372,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,671.767,1.58666,2.6472,0.02239,0.40439,0.36868,0.33149,0.18597,1.54646,2.20705,0.03067,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,780.452,1.53724,2.50139,0.02128,0.44058,0.38526,0.37595,0.21262,1.4992,2.06956,0.02948,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,888.515,1.50113,2.40184,0.02087,0.47041,0.42176,0.41161,0.24049,1.43551,1.98962,0.02789,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,995.288,1.46465,2.30547,0.02037,0.52308,0.43241,0.44962,0.27134,1.41521,1.8644,0.0272,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1103.55,1.43365,2.24305,0.01971,0.53235,0.46448,0.47975,0.29508,1.38852,1.7462,0.02651,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1210.82,1.41463,2.18163,0.01916,0.52516,0.46652,0.48245,0.29993,1.37159,1.70385,0.02616,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1318.14,1.39456,2.12733,0.01876,0.57549,0.49107,0.51722,0.32098,1.34028,1.63532,0.02531,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1426.27,1.37772,2.07956,0.01855,0.62023,0.4929,0.54564,0.34444,1.31653,1.57233,0.02475,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1535.05,1.36389,2.02439,0.0183,0.58839,0.53656,0.55992,0.35604,1.28679,1.55138,0.024,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1642.46,1.34622,1.99793,0.0181,0.61556,0.54099,0.58549,0.37864,1.27918,1.48969,0.02402,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1750.33,1.33301,1.95483,0.01783,0.63649,0.55751,0.61029,0.39871,1.26997,1.42359,0.02363,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1857.42,1.32112,1.9263,0.01754,0.65936,0.56438,0.61973,0.40767,1.24048,1.40678,0.02293,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1964.98,1.31243,1.90414,0.01727,0.65846,0.57206,0.63028,0.41879,1.22753,1.37272,0.02275,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2072.73,1.29968,1.88233,0.01708,0.66433,0.5755,0.63747,0.42569,1.20897,1.3668,0.02217,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2180.13,1.29068,1.84778,0.01699,0.68281,0.58921,0.65214,0.43999,1.20073,1.32306,0.02186,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2287.86,1.27976,1.80932,0.01693,0.69897,0.59815,0.67036,0.45523,1.1924,1.27343,0.02185,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2395.28,1.27265,1.78709,0.01672,0.69976,0.60122,0.68048,0.46445,1.17802,1.25601,0.02134,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2501.89,1.25912,1.76922,0.01654,0.69293,0.62379,0.6877,0.47531,1.16124,1.2527,0.02093,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2608.81,1.25181,1.75286,0.01635,0.70939,0.62196,0.69099,0.47735,1.14448,1.2389,0.02053,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2716.09,1.24731,1.73816,0.01618,0.72226,0.63313,0.70866,0.48934,1.15229,1.18081,0.02075,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2823.25,1.24849,1.71655,0.01622,0.73645,0.63741,0.71419,0.49719,1.14052,1.17035,0.0203,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2931.07,1.23028,1.69476,0.01599,0.72433,0.65105,0.71768,0.5052,1.12452,1.15321,0.02002,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3037.34,1.22681,1.67769,0.01596,0.71973,0.66277,0.72747,0.51295,1.12268,1.13401,0.01987,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3144.05,1.22153,1.6593,0.01584,0.74646,0.65164,0.73124,0.5184,1.10986,1.13651,0.0196,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3250.48,1.21048,1.64599,0.01583,0.75053,0.65983,0.73788,0.5242,1.10795,1.10749,0.01957,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3358.08,1.21262,1.61778,0.01556,0.75898,0.65798,0.74329,0.53197,1.09309,1.08861,0.01917,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,3464.16,1.20291,1.60325,0.01543,0.74502,0.65775,0.73986,0.53002,1.08884,1.09044,0.01914,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3571.04,1.19585,1.58997,0.01535,0.76168,0.67215,0.75136,0.54013,1.07789,1.07452,0.01883,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3677.7,1.18793,1.58748,0.01528,0.75624,0.67497,0.75188,0.54131,1.07848,1.06323,0.01885,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3785.41,1.18205,1.56093,0.0152,0.76908,0.67653,0.76089,0.54943,1.07518,1.04237,0.01868,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3892.69,1.17409,1.55245,0.01517,0.76999,0.67474,0.75932,0.54698,1.07,1.04289,0.01866,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
