epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,232.727,3.56245,7.23689,0.05986,0.00209,0.09989,0.00145,0.00034,2.82888,7.41124,0.06693,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,452.219,2.18929,4.3754,0.03513,0.31943,0.1002,0.06459,0.02624,1.92144,3.71816,0.04093,0.0198488,0.00661627,0.0198488,0.00661627,0.0198488,0.00661627,0.0198488,0.00661627
3,658.617,1.82976,3.34543,0.02699,0.22235,0.19732,0.11258,0.04727,1.83253,3.15184,0.03857,0.0295849,0.00986165,0.0295849,0.00986165,0.0295849,0.00986165,0.0295849,0.00986165
4,858.878,1.70776,2.92282,0.02501,0.30071,0.2918,0.22506,0.10762,1.73165,2.60712,0.03604,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1074.18,1.59812,2.6053,0.02301,0.38628,0.33633,0.30311,0.16176,1.60016,2.30903,0.03257,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1277.49,1.52999,2.41263,0.02146,0.39061,0.38355,0.34677,0.19608,1.50608,2.20603,0.03015,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1478.76,1.48255,2.26126,0.02047,0.47036,0.4248,0.41689,0.24161,1.47195,1.97046,0.02906,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1683.89,1.44088,2.17671,0.01994,0.49165,0.44288,0.43791,0.25896,1.42811,1.88159,0.02777,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1860.96,1.39731,2.08427,0.01934,0.53281,0.48055,0.48857,0.29698,1.3808,1.76621,0.02658,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,2054.26,1.37516,2.01964,0.01882,0.57756,0.48975,0.51552,0.31822,1.37683,1.6527,0.02652,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
