epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,155.957,3.59067,7.26201,0.06038,0.00139,0.07448,0.00041,9e-05,2.91325,7.34234,0.06962,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,291.051,2.30417,4.54536,0.03758,0.50371,0.06356,0.04197,0.01499,1.99839,4.04139,0.04366,0.0197829,0.0065943,0.0197829,0.0065943,0.0197829,0.0065943,0.0197829,0.0065943
3,424.12,1.89475,3.59404,0.02818,0.27208,0.18072,0.09783,0.04121,1.88727,3.31267,0.03987,0.0293871,0.00979569,0.0293871,0.00979569,0.0293871,0.00979569,0.0293871,0.00979569
4,543.731,1.77486,3.23215,0.02623,0.29957,0.23247,0.18385,0.08907,1.71407,2.75388,0.03504,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,663.294,1.67507,2.9451,0.02429,0.35525,0.31737,0.27189,0.14457,1.59913,2.45138,0.03217,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,790.734,1.61276,2.76095,0.02289,0.42427,0.34864,0.32673,0.1783,1.56356,2.26883,0.03118,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,909.528,1.57111,2.62833,0.02195,0.44557,0.37702,0.36767,0.20888,1.49836,2.08773,0.02947,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1026.74,1.5356,2.5461,0.02147,0.47118,0.42413,0.41728,0.24645,1.43624,1.94897,0.02787,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1140,1.49728,2.44804,0.02098,0.48259,0.42232,0.41771,0.24916,1.41729,1.9537,0.0272,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1253.86,1.47018,2.3746,0.02038,0.53181,0.45907,0.47338,0.29051,1.3938,1.75349,0.02702,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1380.03,1.45227,2.32215,0.01982,0.51764,0.46911,0.48446,0.30244,1.36853,1.73862,0.02594,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1506.63,1.43983,2.26701,0.01963,0.56569,0.48335,0.50779,0.31646,1.33158,1.6976,0.02529,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1627.2,1.42004,2.21632,0.01932,0.59749,0.50263,0.54086,0.34629,1.31091,1.58235,0.02455,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1742.39,1.405,2.17284,0.01907,0.60381,0.5075,0.55813,0.35583,1.30641,1.56154,0.02439,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1854.44,1.38603,2.13566,0.01882,0.61211,0.52906,0.57234,0.37135,1.28312,1.49346,0.02388,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1965.53,1.37735,2.11108,0.01858,0.63222,0.54668,0.59379,0.39247,1.26807,1.43874,0.02348,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2093.79,1.36585,2.07768,0.01832,0.6391,0.55246,0.60712,0.40616,1.23276,1.40353,0.02271,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2212.01,1.36064,2.04593,0.01811,0.64947,0.57511,0.62337,0.41552,1.22128,1.38197,0.02241,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2328.51,1.35288,2.02852,0.01801,0.64177,0.57476,0.62709,0.42267,1.20531,1.36343,0.02201,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2443.16,1.33467,1.99298,0.01782,0.67669,0.57085,0.63755,0.4295,1.19376,1.35214,0.02201,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2555.13,1.33066,1.97383,0.01776,0.68022,0.59926,0.65917,0.44509,1.18525,1.28713,0.02154,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2667.31,1.32011,1.94224,0.01756,0.67146,0.6083,0.6673,0.45528,1.17171,1.26969,0.02119,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2780.39,1.30167,1.93102,0.0173,0.68003,0.60809,0.66859,0.46107,1.16403,1.26316,0.02092,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2892.39,1.30514,1.9154,0.01725,0.69675,0.60607,0.67904,0.47065,1.14408,1.24675,0.02045,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3004.53,1.29807,1.89926,0.01706,0.69046,0.63484,0.69151,0.48185,1.13492,1.21169,0.02024,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3112.84,1.29661,1.87575,0.01706,0.70628,0.6287,0.7007,0.49194,1.12645,1.18747,0.02003,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
