epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,141.979,3.59067,7.26201,0.06038,0.00139,0.07448,0.00041,9e-05,2.91325,7.34234,0.06962,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269,0.00998069,0.0033269
2,277.769,2.32383,4.56949,0.03802,0.41556,0.07398,0.04764,0.01776,2.02679,3.84745,0.04401,0.0198488,0.00661627,0.0198488,0.00661627,0.0198488,0.00661627,0.0198488,0.00661627
3,405.812,1.90581,3.60152,0.02843,0.2599,0.17393,0.09689,0.04086,1.88089,3.60388,0.03987,0.0295849,0.00986165,0.0295849,0.00986165,0.0295849,0.00986165,0.0295849,0.00986165
4,529.312,1.77764,3.24039,0.0263,0.28585,0.25952,0.18444,0.09165,1.71256,2.70467,0.03517,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,657.886,1.67926,2.96598,0.02446,0.32532,0.30983,0.25574,0.13462,1.62149,2.50027,0.03287,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,788.228,1.61925,2.77155,0.02301,0.37174,0.34911,0.30171,0.16473,1.57585,2.29146,0.03157,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,911.494,1.57448,2.63482,0.02206,0.3986,0.37505,0.34994,0.20097,1.4954,2.12705,0.02945,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1038.5,1.54096,2.54147,0.02158,0.47078,0.41451,0.41097,0.24098,1.44629,1.97582,0.02822,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1169.67,1.49715,2.45352,0.02105,0.49592,0.42708,0.43039,0.26125,1.41977,1.95417,0.02769,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1292.8,1.47375,2.37448,0.02044,0.53034,0.44814,0.4704,0.28849,1.39661,1.78903,0.02673,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1420.41,1.45247,2.32867,0.01984,0.55559,0.48647,0.50534,0.31199,1.3653,1.68043,0.02593,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1551.1,1.4401,2.27023,0.01962,0.55359,0.48862,0.50998,0.31266,1.36232,1.73739,0.02603,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1674.83,1.42289,2.23617,0.01942,0.58934,0.49271,0.52961,0.33573,1.31644,1.63278,0.02501,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1801.81,1.40721,2.18187,0.01913,0.59126,0.52859,0.55721,0.35511,1.3092,1.58326,0.02486,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,1931.14,1.39087,2.13778,0.01899,0.61542,0.53083,0.57709,0.37421,1.28763,1.49822,0.02411,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,2058.07,1.38526,2.10808,0.01876,0.61949,0.54835,0.59105,0.38917,1.2641,1.48439,0.02338,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,2185.77,1.368,2.0779,0.01839,0.65724,0.56718,0.61969,0.41427,1.23842,1.37747,0.02287,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,2316.84,1.36395,2.04528,0.01816,0.64061,0.5618,0.61764,0.41049,1.22861,1.3862,0.0225,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,2444.84,1.3527,2.03179,0.01802,0.64618,0.5829,0.63162,0.42437,1.21471,1.37326,0.02224,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,2572.68,1.33556,2.00204,0.0178,0.67595,0.57511,0.64172,0.43657,1.19919,1.34127,0.02184,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,2703.72,1.33167,1.97703,0.01781,0.67578,0.58882,0.65057,0.44721,1.18493,1.30918,0.02149,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,2831.12,1.32866,1.9511,0.01774,0.69086,0.59406,0.66336,0.45444,1.17331,1.29694,0.02123,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,2958.65,1.31259,1.92938,0.01749,0.687,0.61397,0.67287,0.46732,1.15472,1.25922,0.02085,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,3090.38,1.31228,1.92046,0.0174,0.70276,0.61555,0.68264,0.46963,1.15475,1.23915,0.0208,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
